sample_id,core_sample_id,timepoint,species,tissue,mouse_id,dam_id,cohort,cohort_id,treatment,treatment_group,normal_or_tumor,sample_notes,cellranger_dir,pool_dir,cellranger_raw_h5_filename,cellranger_filtered_h5_filename,cellbender_h5_dir,cellbender_seurat_h5_dir,fpr_dir,cellbender_seurat_h5_filename,cellbender_h5_filename
21,8651-JC-21,3_weeks,Mouse,Mammary,Pb001a,Pb001,cohort 0,0,Pb,pb,Normal,Flash frozen tissue,8651-JC-mammary/10x_analysis_JC-8651_cellranger_v.9.0.0,8651-JC_P02/outs/per_sample_outs,count/sample_raw_feature_bc_matrix.h5,count/sample_filtered_feature_bc_matrix.h5,cellbender/cellbender_h5_outputs,cellbender/cellbender_h5_outputs_for_seurat,FPR_0.0,output_cellbender_8651-JC-21_FPR_0.0_filtered_seurat.h5,output_cellbender_8651-JC-21_FPR_0.0.h5
22,8651-JC-22,3_weeks,Mouse,Mammary,Pb004a,Pb004,cohort 0,0,Pb,pb,Normal,Flash frozen tissue,8651-JC-mammary/10x_analysis_JC-8651_cellranger_v.9.0.0,8651-JC_P02/outs/per_sample_outs,count/sample_raw_feature_bc_matrix.h5,count/sample_filtered_feature_bc_matrix.h5,cellbender/cellbender_h5_outputs,cellbender/cellbender_h5_outputs_for_seurat,FPR_0.0,output_cellbender_8651-JC-22_FPR_0.0_filtered_seurat.h5,output_cellbender_8651-JC-22_FPR_0.0.h5
23,8651-JC-23,3_weeks,Mouse,Mammary,Pb006a,Pb006,cohort 0,0,Pb,pb,Normal,Flash frozen tissue,8651-JC-mammary/10x_analysis_JC-8651_cellranger_v.9.0.0,8651-JC_P02/outs/per_sample_outs,count/sample_raw_feature_bc_matrix.h5,count/sample_filtered_feature_bc_matrix.h5,cellbender/cellbender_h5_outputs,cellbender/cellbender_h5_outputs_for_seurat,FPR_0.0,output_cellbender_8651-JC-23_FPR_0.0_filtered_seurat.h5,output_cellbender_8651-JC-23_FPR_0.0.h5
24,8651-JC-24,3_weeks,Mouse,Mammary,Pb002a,Pb002,cohort 0,0,Pb,pb,Normal,Flash frozen tissue,8651-JC-mammary/10x_analysis_JC-8651_cellranger_v.9.0.0,8651-JC_P02/outs/per_sample_outs,count/sample_raw_feature_bc_matrix.h5,count/sample_filtered_feature_bc_matrix.h5,cellbender/cellbender_h5_outputs,cellbender/cellbender_h5_outputs_for_seurat,FPR_0.0,output_cellbender_8651-JC-24_FPR_0.0_filtered_seurat.h5,output_cellbender_8651-JC-24_FPR_0.0.h5
25,8651-JC-25,3_weeks,Mouse,Mammary,Pb003a,Pb003,cohort 0,0,Pb,pb,Normal,Flash frozen tissue,8651-JC-mammary/10x_analysis_JC-8651_cellranger_v.9.0.0,8651-JC_P02/outs/per_sample_outs,count/sample_raw_feature_bc_matrix.h5,count/sample_filtered_feature_bc_matrix.h5,cellbender/cellbender_h5_outputs,cellbender/cellbender_h5_outputs_for_seurat,FPR_0.0,output_cellbender_8651-JC-25_FPR_0.0_filtered_seurat.h5,output_cellbender_8651-JC-25_FPR_0.0.h5
26,8651-JC-26,3_weeks,Mouse,Mammary,Pb007a,Pb007,cohort 0,0,Pb,pb,Normal,Flash frozen tissue,8651-JC-mammary/10x_analysis_JC-8651_cellranger_v.9.0.0,8651-JC_P02/outs/per_sample_outs,count/sample_raw_feature_bc_matrix.h5,count/sample_filtered_feature_bc_matrix.h5,cellbender/cellbender_h5_outputs,cellbender/cellbender_h5_outputs_for_seurat,FPR_0.0,output_cellbender_8651-JC-26_FPR_0.0_filtered_seurat.h5,output_cellbender_8651-JC-26_FPR_0.0.h5
27,8651-JC-27,3_weeks,Mouse,Mammary,Pb010a,Pb010,cohort 0,0,Control,ctrl,Normal,Flash frozen tissue,8651-JC-mammary/10x_analysis_JC-8651_cellranger_v.9.0.0,8651-JC_P02/outs/per_sample_outs,count/sample_raw_feature_bc_matrix.h5,count/sample_filtered_feature_bc_matrix.h5,cellbender/cellbender_h5_outputs,cellbender/cellbender_h5_outputs_for_seurat,FPR_0.0,output_cellbender_8651-JC-27_FPR_0.0_filtered_seurat.h5,output_cellbender_8651-JC-27_FPR_0.0.h5
28,8651-JC-28,3_weeks,Mouse,Mammary,Pb012a,Pb012,cohort 0,0,Control,ctrl,Normal,Flash frozen tissue,8651-JC-mammary/10x_analysis_JC-8651_cellranger_v.9.0.0,8651-JC_P02/outs/per_sample_outs,count/sample_raw_feature_bc_matrix.h5,count/sample_filtered_feature_bc_matrix.h5,cellbender/cellbender_h5_outputs,cellbender/cellbender_h5_outputs_for_seurat,FPR_0.0,output_cellbender_8651-JC-28_FPR_0.0_filtered_seurat.h5,output_cellbender_8651-JC-28_FPR_0.0.h5
29,8651-JC-29,3_weeks,Mouse,Mammary,Pb016b,Pb016,cohort 0,0,Control,ctrl,Normal,Flash frozen tissue,8651-JC-mammary/10x_analysis_JC-8651_cellranger_v.9.0.0,8651-JC_P02/outs/per_sample_outs,count/sample_raw_feature_bc_matrix.h5,count/sample_filtered_feature_bc_matrix.h5,cellbender/cellbender_h5_outputs,cellbender/cellbender_h5_outputs_for_seurat,FPR_0.0,output_cellbender_8651-JC-29_FPR_0.0_filtered_seurat.h5,output_cellbender_8651-JC-29_FPR_0.0.h5
30,8651-JC-30,3_weeks,Mouse,Mammary,Pb009a,Pb009,cohort 0,0,Control,ctrl,Normal,Flash frozen tissue,8651-JC-mammary/10x_analysis_JC-8651_cellranger_v.9.0.0,8651-JC_P02/outs/per_sample_outs,count/sample_raw_feature_bc_matrix.h5,count/sample_filtered_feature_bc_matrix.h5,cellbender/cellbender_h5_outputs,cellbender/cellbender_h5_outputs_for_seurat,FPR_0.0,output_cellbender_8651-JC-30_FPR_0.0_filtered_seurat.h5,output_cellbender_8651-JC-30_FPR_0.0.h5
