sample_id,core_sample_id,timepoint,species,tissue,mouse_id,treatment,treatment_group,normal_or_tumor,sample_notes,cellranger_dir,pool_dir,cellbender_h5_dir,cellbender_seurat_dir,cellbender_fpr_dir
21,8651-JC-21,week3,Mouse,Mammary,Pb001a,Pb,pb,Normal,Flash frozen tissue,10x_analysis_11389-DA/10x_analysis_DA-11389_cellranger_v.9.0.0,,cellbender/cellbender_h5_outputs,cellbender/cellbender_h5_outputs_for_seurat,FPR_0.0
22,8651-JC-22,week3,Mouse,Mammary,Pb004a,Pb,pb,Normal,Flash frozen tissue,10x_analysis_11389-DA/10x_analysis_DA-11389_cellranger_v.9.0.0,,cellbender/cellbender_h5_outputs/,cellbender/cellbender_h5_outputs_for_seurat,FPR_0.0
23,8651-JC-23,week3,Mouse,Mammary,Pb006a,Pb,pb,Normal,Flash frozen tissue,10x_analysis_11389-DA/10x_analysis_DA-11389_cellranger_v.9.0.0,,cellbender/cellbender_h5_outputs/,cellbender/cellbender_h5_outputs_for_seurat,FPR_0.0
24,8651-JC-24,week3,Mouse,Mammary,Pb002a,Pb,pb,Normal,Flash frozen tissue,10x_analysis_11389-DA/10x_analysis_DA-11389_cellranger_v.9.0.0,,cellbender/cellbender_h5_outputs/,cellbender/cellbender_h5_outputs_for_seurat,FPR_0.0
25,8651-JC-25,week3,Mouse,Mammary,Pb003a,Pb,pb,Normal,Flash frozen tissue,10x_analysis_11389-DA/10x_analysis_DA-11389_cellranger_v.9.0.0,,cellbender/cellbender_h5_outputs/,cellbender/cellbender_h5_outputs_for_seurat,FPR_0.0
26,8651-JC-26,week3,Mouse,Mammary,Pb007a,Pb,pb,Normal,Flash frozen tissue,10x_analysis_11389-DA/10x_analysis_DA-11389_cellranger_v.9.0.0,,cellbender/cellbender_h5_outputs/,cellbender/cellbender_h5_outputs_for_seurat,FPR_0.0
27,8651-JC-27,week3,Mouse,Mammary,Pb010a,Control,ctrl,Normal,Flash frozen tissue,10x_analysis_11389-DA/10x_analysis_DA-11389_cellranger_v.9.0.0,,cellbender/cellbender_h5_outputs/,cellbender/cellbender_h5_outputs_for_seurat,FPR_0.0
28,8651-JC-28,week3,Mouse,Mammary,Pb012a,Control,ctrl,Normal,Flash frozen tissue,10x_analysis_11389-DA/10x_analysis_DA-11389_cellranger_v.9.0.0,,cellbender/cellbender_h5_outputs/,cellbender/cellbender_h5_outputs_for_seurat,FPR_0.0
29,8651-JC-29,week3,Mouse,Mammary,Pb016b,Control,ctrl,Normal,Flash frozen tissue,10x_analysis_11389-DA/10x_analysis_DA-11389_cellranger_v.9.0.0,,cellbender/cellbender_h5_outputs/,cellbender/cellbender_h5_outputs_for_seurat,FPR_0.0
30,8651-JC-30,week3,Mouse,Mammary,Pb009a,Control,ctrl,Normal,Flash frozen tissue,10x_analysis_11389-DA/10x_analysis_DA-11389_cellranger_v.9.0.0,,cellbender/cellbender_h5_outputs/,cellbender/cellbender_h5_outputs_for_seurat,FPR_0.0
31,8651-JC-31,week3,Mouse,Mammary,Pb011a,Control,ctrl,Normal,Flash frozen tissue,10x_analysis_11389-DA/10x_analysis_DA-11389_cellranger_v.9.0.0,,cellbender/cellbender_h5_outputs/,cellbender/cellbender_h5_outputs_for_seurat,FPR_0.0
32,8651-JC-32,week3,Mouse,Mammary,Pb016a,Control,ctrl,Normal,Flash frozen tissue,10x_analysis_11389-DA/10x_analysis_DA-11389_cellranger_v.9.0.0,,cellbender/cellbender_h5_outputs/,cellbender/cellbender_h5_outputs_for_seurat,FPR_0.0
1,11389-DA-1,month7,Mouse,Mammary,A027d,Control,ctrl,Normal,Flash frozen tissue,10x_analysis_11389-DA/10x_analysis_DA-11389_cellranger_v.9.0.0,11389-DA_Pool01/outs/per_sample_outs,cellbender/cellbender_h5_outputs/,cellbender/cellbender_h5_outputs_for_seurat,FPR_0.0
2,11389-DA-2,month7,Mouse,Mammary,A029d,Control,ctrl,Normal,Flash frozen tissue,10x_analysis_11389-DA/10x_analysis_DA-11389_cellranger_v.9.0.0,11389-DA_Pool01/outs/per_sample_outs,cellbender/cellbender_h5_outputs/,cellbender/cellbender_h5_outputs_for_seurat,FPR_0.0
